Age,Salary,Department,JobSatisfaction,Overtime,YearsAtCompany,WorkLifeBalance,DistanceFromHome,Attrition
35,71803,1,2,0,12,4,8,0
35,87575,0,1,0,15,3,3,0
21,106383,1,4,0,1,4,4,0
43,86382,1,2,0,9,1,5,0
34,66318,0,4,0,3,3,8,0
37,89513,2,2,1,11,2,2,1
38,113410,1,3,0,12,3,2,0
35,96787,1,2,0,14,3,5,0
48,86789,0,1,1,11,2,1,0
32,76194,2,2,1,2,4,17,1
26,84053,1,2,1,4,3,30,1
34,76898,1,2,0,8,4,1,0
28,82388,1,4,0,1,3,20,0
34,93405,2,4,1,7,4,3,0
39,76692,1,4,0,17,4,1,0
40,109672,1,1,0,19,3,5,0
44,118139,0,2,0,15,3,12,0
58,95956,0,4,1,10,3,5,0
26,121793,1,3,0,3,2,14,0
35,74934,1,2,1,9,4,9,0
43,86089,1,1,1,17,4,17,0
33,70014,2,3,0,9,3,3,0
41,46636,1,3,1,14,3,15,1
23,86841,1,3,1,4,3,5,0
37,118425,0,2,1,6,3,2,0
57,101259,1,3,0,18,1,3,0
33,100660,2,3,0,2,1,1,0
34,97652,0,3,0,10,4,3,0
45,82195,1,3,1,12,4,1,0
45,105639,1,4,0,9,3,11,0
53,79174,1,3,0,13,2,4,0
51,110600,1,3,0,4,3,27,0
41,78035,2,3,0,20,2,13,0
56,49267,1,3,0,18,3,1,0
22,82448,1,4,0,2,2,30,0
37,88591,0,4,1,1,3,2,0
49,89194,1,1,0,8,4,7,0
39,79580,1,4,1,7,3,30,0
40,87688,1,1,0,8,3,9,1
45,117789,1,3,0,8,3,9,0
39,114909,1,4,1,15,4,5,1
39,79829,1,4,1,19,2,3,0
40,85581,0,2,0,19,3,26,0
32,99287,1,4,0,5,3,6,0
34,68140,2,1,1,10,1,6,0
50,89090,1,2,1,8,3,1,1
27,98606,2,3,0,5,4,1,0
36,79476,0,3,0,14,3,1,0
34,65753,1,1,1,14,3,1,1
43,86243,0,4,1,1,3,20,1
37,84695,1,2,1,11,3,2,0
44,89558,0,4,0,1,3,3,0
33,88188,1,1,0,12,3,4,0
40,73158,0,1,1,2,4,5,1
29,83356,2,4,0,3,3,7,0
31,97443,0,3,1,4,3,1,0
43,72105,1,3,1,4,2,7,0
46,70756,0,3,0,6,2,1,0
57,56039,1,3,1,11,1,4,1
34,87377,1,1,0,12,3,16,1
42,54237,1,2,0,3,2,9,1
35,85764,0,2,0,8,1,7,0
34,70239,0,3,0,8,1,1,1
26,96658,1,3,0,3,4,10,0
33,118218,1,4,0,8,3,1,0
31,46958,0,1,0,7,2,13,1
40,68875,1,4,1,18,1,1,0
35,102283,0,3,0,16,3,1,0
39,80122,2,2,0,8,3,3,0
22,72992,1,3,1,1,3,17,1
34,87852,0,2,0,3,3,17,0
30,100173,1,3,1,10,2,5,0
32,60445,0,3,0,5,3,7,0
42,59878,0,2,0,17,3,4,0
39,96003,1,2,0,14,3,5,0
30,125397,0,2,0,3,3,1,1
18,75325,1,2,0,1,3,3,0
36,71734,1,3,0,12,3,4,0
28,80204,0,3,0,4,2,11,0
29,69263,1,2,1,8,3,2,0
34,72318,1,3,0,6,2,8,1
35,79462,1,3,1,5,2,2,0
27,93728,1,3,0,8,3,6,0
30,78347,0,2,0,2,3,1,0
47,75873,1,3,0,7,3,8,0
32,90214,1,2,1,5,2,19,1
43,98564,0,4,0,19,1,18,0
51,49154,1,4,1,9,2,5,1
31,93029,1,3,1,8,3,7,0
45,87867,0,3,0,12,3,13,0
29,87655,0,3,0,10,4,1,0
39,81843,0,3,0,1,2,19,0
38,121356,1,4,1,17,2,2,1
36,76606,1,2,0,10,3,4,1
34,107331,1,2,0,9,3,1,1
36,99355,1,2,1,4,4,2,0
31,107750,1,4,0,3,4,3,0
30,68356,2,2,1,5,2,3,1
52,87157,1,1,0,8,1,21,1
32,99221,1,1,0,3,4,14,0
50,96433,2,2,0,20,3,11,0
32,111392,1,3,1,8,3,1,0
38,107482,0,3,0,17,2,5,0
47,109516,1,4,0,4,3,21,0
44,75904,0,1,1,15,3,1,0
26,83603,2,4,0,4,3,2,0
31,97665,0,3,0,5,3,1,0
26,131441,1,2,0,4,1,15,1
51,67566,1,3,0,7,4,1,0
36,89987,1,3,0,1,4,8,0
41,71773,0,4,1,19,4,4,0
25,105252,1,2,0,2,1,12,1
48,101367,0,1,0,6,2,5,0
27,66406,1,2,1,8,4,7,1
47,100005,1,4,0,2,2,8,0
33,71990,1,4,1,13,3,2,1
45,80142,0,2,0,7,1,6,0
49,105075,1,3,1,18,1,14,1
33,76862,1,1,0,9,3,1,0
33,90853,2,1,0,6,4,6,0
29,81430,1,2,0,8,2,5,0
46,71916,1,4,0,16,4,5,0
43,90337,2,3,1,4,3,1,0
30,84151,1,3,0,5,3,7,0
21,65487,1,4,0,1,3,1,0
21,109423,0,4,1,2,3,3,1
33,85158,1,3,0,14,2,4,0
24,92130,0,1,0,2,3,13,0
31,69353,1,4,1,11,3,1,0
44,130214,1,2,0,4,3,30,0
56,51676,1,3,0,18,3,10,0
30,86735,1,4,0,5,3,4,0
18,67682,1,3,1,1,1,17,1
35,82326,1,2,0,5,2,13,0
19,53223,1,4,0,1,2,26,1
28,91032,1,3,1,8,3,2,0
35,80672,1,2,0,15,4,1,0
36,90666,1,3,1,2,2,7,1
40,44330,1,3,0,18,4,7,0
46,103946,1,2,0,5,3,1,0
40,105947,1,2,1,18,3,17,0
24,61911,2,3,1,4,3,2,1
38,105639,1,3,0,13,2,1,0
36,79395,2,1,0,17,2,22,0
27,86818,0,4,0,2,3,1,0
48,113805,0,3,0,19,4,2,0
33,127550,1,3,0,6,3,1,0
29,97766,1,3,0,8,3,1,1
30,60903,0,4,1,10,4,18,1
34,64869,1,3,0,4,2,10,1
36,78635,1,3,1,1,2,9,1
27,61750,0,3,0,5,3,5,1
39,74981,1,3,0,6,4,2,0
39,39678,1,3,1,20,3,2,0
33,89757,1,3,0,6,3,30,0
38,67544,1,2,0,8,4,11,1
42,73734,0,3,0,13,3,2,0
40,99212,2,2,1,1,1,24,0
28,87392,1,4,1,8,3,4,0
36,108279,2,4,0,8,1,2,1
44,96888,1,1,0,20,3,5,0
45,44486,1,3,0,2,2,25,1
30,111829,1,3,0,10,2,30,1
26,71478,0,3,0,3,3,2,0
38,107098,0,3,0,13,4,10,0
31,81887,2,2,0,6,3,8,0
36,76087,0,2,1,10,3,7,0
34,91891,1,4,0,3,2,2,0
37,71785,1,3,0,5,3,20,0
35,55895,2,3,0,16,3,2,0
41,86933,0,3,0,17,3,4,1
58,69777,2,4,1,18,3,22,0
23,102562,1,4,0,4,4,2,0
23,64410,1,4,0,1,2,2,1
37,57217,1,3,1,14,3,19,0
39,85738,1,4,0,20,2,1,0
54,72940,1,2,0,20,3,5,0
18,92073,0,4,0,1,4,1,0
41,110780,1,1,0,2,3,5,0
40,78835,0,2,1,12,2,1,0
40,86505,1,4,0,15,3,14,0
23,111080,1,2,0,1,2,9,0
41,80354,0,1,0,15,3,3,0
47,130649,1,4,0,8,3,1,0
27,87624,1,4,0,3,3,1,0
52,71793,0,4,1,16,3,1,0
32,102316,0,3,1,8,3,13,0
35,101414,1,1,0,9,4,17,1
40,61065,1,4,1,15,3,6,1
39,51855,1,1,1,19,1,3,1
23,87992,1,3,0,3,3,6,1
40,77489,2,2,0,4,2,8,1
47,78144,0,4,0,15,4,1,0
48,91189,1,2,0,13,1,10,0
38,66000,1,4,0,15,4,9,0
45,92797,0,3,0,11,1,4,0
35,84797,0,1,1,3,3,25,1
43,64902,0,1,0,11,2,3,0
48,124082,0,1,0,1,3,1,0
59,54064,1,4,1,3,3,11,1
38,98500,1,1,0,7,3,9,0
39,84729,0,2,0,8,2,13,0
28,80943,1,4,0,2,3,1,0
30,102213,1,2,0,6,4,2,0
46,101987,1,4,0,4,4,4,0
47,25000,1,2,0,20,1,9,0
26,103600,1,3,0,5,3,1,1
38,57077,1,3,1,11,4,9,0
36,97717,1,2,0,8,1,4,0
40,95120,0,2,0,10,3,1,0
45,72717,1,3,0,20,4,14,0
37,67935,0,4,0,7,2,1,0
27,96047,0,4,1,2,2,5,0
37,91034,1,2,0,16,3,10,0
45,117904,0,1,0,13,2,2,0
39,102229,0,3,0,6,4,4,0
36,80520,1,4,0,8,3,4,0
33,85457,1,2,0,1,3,10,0
29,41282,2,1,1,8,3,3,1
43,88722,1,2,1,20,3,22,0
34,92883,1,3,0,5,4,1,0
36,89232,2,2,1,6,4,7,1
29,66557,0,4,0,5,4,1,0
49,74283,1,2,0,1,2,10,1
36,80045,0,2,0,2,2,4,1
31,47107,1,3,0,7,3,8,0
45,116191,1,2,0,18,3,22,0
30,48229,1,3,0,3,3,9,0
56,78153,1,2,0,19,3,21,0
51,95984,2,1,0,11,3,5,0
38,85898,1,3,0,7,2,2,1
32,92127,1,2,0,4,2,5,0
33,58227,1,3,1,6,4,5,0
37,90666,1,4,0,2,3,1,0
47,68399,1,2,1,18,4,1,0
35,84301,1,2,1,1,4,1,0
40,75405,0,1,0,4,4,16,0
30,74753,0,1,0,5,1,7,0
44,109872,1,3,0,1,1,11,0
30,69259,0,3,0,10,4,6,0
38,90584,1,3,0,8,4,1,0
30,98861,0,4,0,5,2,26,0
33,85550,1,2,0,2,4,22,0
44,69577,1,2,0,14,1,4,0
47,81666,1,2,1,17,2,8,0
37,60613,0,3,0,12,2,12,0
60,76321,1,3,1,17,2,2,0
38,61932,1,3,0,4,3,14,1
37,74561,1,2,0,17,3,5,0
49,90754,1,4,0,13,4,9,0
33,124914,1,2,0,8,4,5,0
29,79938,1,2,1,7,1,22,1
43,112500,0,4,0,4,1,10,0
32,52546,1,4,0,8,2,1,0
50,62366,1,4,1,15,4,11,0
42,81738,0,1,0,7,2,8,0
40,63287,1,4,0,8,4,5,0
42,114847,1,3,0,1,3,1,0
29,86603,1,2,0,10,3,10,0
26,103558,0,1,1,4,3,2,1
29,96170,0,4,1,3,2,14,0
32,92002,1,3,1,1,3,12,1
19,55548,2,3,0,1,2,7,0
29,74509,0,2,0,3,3,2,0
27,81325,2,2,0,1,3,11,1
25,67838,1,4,0,2,2,4,0
25,72490,2,3,0,1,3,1,0
30,53461,1,2,0,10,3,1,0
45,84438,1,3,1,9,1,18,1
43,80035,0,2,1,20,3,8,1
43,52704,1,4,0,11,3,17,0
60,99487,0,3,0,17,2,20,0
45,70469,1,2,0,8,3,14,0
47,72442,2,1,1,6,3,10,1
48,85723,1,3,0,5,2,11,0
37,91553,1,1,0,14,2,1,0
41,86934,0,2,0,4,4,26,0
34,61375,1,3,0,3,3,6,1
42,54349,1,2,1,18,4,9,0
18,86555,0,1,0,1,4,7,0
40,71641,1,2,0,1,2,6,0
38,83799,1,4,1,16,3,5,0
18,61850,0,3,0,1,3,8,1
46,108376,1,3,0,7,2,8,0
45,102681,2,4,1,3,2,2,0
23,104141,0,3,1,4,2,2,0
19,67930,0,3,1,1,4,4,1
44,91208,1,4,0,8,3,4,0
30,83676,1,2,1,10,3,6,0
22,98276,2,2,1,2,1,1,1
24,109747,1,4,0,4,1,1,0
30,112896,0,4,1,9,3,8,1
52,78473,1,4,0,6,3,1,0
36,71746,2,3,0,7,3,18,1
34,70010,1,1,0,7,4,6,0
37,54122,0,1,1,14,3,6,1
41,57936,1,4,1,4,3,5,0
27,92926,1,3,0,5,3,5,0
53,76293,1,4,0,12,4,2,0
34,88128,1,1,0,14,3,23,0
31,90267,1,2,0,3,2,22,1
33,102740,1,2,1,4,3,5,1
36,80944,1,2,0,15,3,15,0
27,56625,1,4,0,3,2,4,0
47,98920,0,4,0,18,2,2,0
24,101701,1,2,0,4,3,1,0
55,88474,1,2,1,4,2,3,1
53,113627,2,3,0,13,4,6,0
19,98842,1,3,0,1,3,1,0
48,59951,0,3,0,3,2,4,0
52,88343,0,2,0,12,3,1,0
32,95026,2,3,0,11,2,6,0
49,66131,1,2,0,10,1,4,0
35,115328,1,1,0,7,4,4,0
48,87423,1,3,0,2,2,7,0
32,72058,1,1,0,11,3,8,0
35,107456,1,2,0,5,3,2,0
38,82365,0,1,0,17,1,13,1
27,45627,1,1,0,3,1,17,1
39,73425,0,2,0,6,3,1,0
34,103663,1,1,0,14,3,10,0
31,140369,1,3,0,1,3,12,0
33,54391,0,1,0,11,4,9,1
31,52208,0,3,0,2,3,4,1
30,79619,1,1,0,2,1,1,0
27,117527,2,3,0,2,3,16,1
43,94487,1,1,0,8,3,3,0
42,103685,2,2,1,11,3,13,0
41,102203,0,3,0,6,3,1,0
38,113115,1,4,1,12,3,11,0
34,79132,1,4,1,7,3,16,0
27,95676,2,4,1,8,2,1,1
44,99702,0,3,0,8,3,16,1
43,90573,0,1,1,5,3,1,0
30,66469,1,2,0,9,1,2,1
51,93019,1,3,0,5,1,8,1
25,91529,1,3,0,1,3,1,0
47,75658,0,4,0,5,1,6,1
26,102478,1,4,0,3,2,13,0
35,71897,1,4,1,11,3,30,0
18,78520,1,2,0,1,3,1,1
40,94341,1,4,1,20,4,22,0
39,84165,1,4,1,11,2,10,0
25,89984,0,1,0,2,3,13,0
32,81857,0,4,0,3,4,2,0
32,90599,2,1,0,8,2,5,0
48,68292,1,3,0,11,3,2,0
41,63595,1,2,0,13,1,21,1
34,64943,1,2,1,15,1,6,1
46,86144,1,1,0,6,3,1,0
30,107449,0,4,0,3,1,4,0
43,119483,1,4,0,16,1,2,0
40,68971,1,1,0,14,1,3,0
32,77541,2,3,0,3,3,8,0
19,62601,1,3,0,1,2,28,1
39,90574,1,4,1,7,2,6,1
30,99658,0,4,0,5,1,1,0
41,61946,0,3,1,20,4,2,0
39,67122,0,4,0,12,1,17,0
18,75934,0,4,1,1,1,3,1
37,114139,1,3,0,4,4,15,0
35,83577,2,1,0,6,3,17,0
50,105654,0,3,0,9,4,3,0
27,97166,1,4,0,5,2,6,0
20,56432,1,2,0,1,3,7,1
22,59983,1,4,0,3,1,1,1
48,60779,1,4,0,5,2,6,0
29,82773,1,3,0,3,1,4,0
60,70009,0,1,0,5,1,1,0
27,97591,1,4,0,7,1,6,0
33,76487,1,4,1,4,2,10,0
30,35069,2,2,0,10,3,2,1
29,100495,1,1,1,7,2,6,1
45,103762,0,4,0,5,1,8,0
33,66735,1,2,0,3,2,4,0
47,90540,1,2,1,8,2,30,1
51,71632,2,3,0,10,3,4,1
40,61157,0,4,0,3,1,21,0
39,112002,1,4,1,1,1,12,1
45,86325,1,3,1,7,2,10,0
39,86692,1,2,0,12,4,7,0
54,94613,0,3,0,16,1,3,0
32,101529,1,1,0,4,3,11,1
42,97650,0,1,0,7,4,4,0
28,83792,1,2,1,8,4,1,0
41,95429,0,2,0,18,1,5,0
37,82708,2,4,0,14,3,7,0
31,90460,1,4,0,1,1,1,0
32,75102,1,2,0,2,1,9,0
42,83278,0,2,0,5,3,22,0
38,86153,1,3,0,2,4,12,0
59,83514,2,2,0,1,3,2,0
35,128607,0,3,0,12,3,1,0
25,94732,1,1,1,1,3,1,0
40,63152,1,2,1,3,2,29,1
45,67756,1,2,0,17,4,10,0
33,94220,2,2,1,6,1,2,0
39,68549,1,4,0,14,3,30,0
30,62985,1,1,0,7,3,4,1
28,83472,1,1,0,4,3,29,0
47,60068,0,2,1,20,3,13,1
30,88544,1,4,1,9,4,2,0
27,81835,0,1,0,4,2,1,0
26,99208,1,2,1,6,1,1,0
33,107124,1,3,0,1,4,1,0
58,99280,1,1,1,13,2,12,0
37,75625,2,4,0,16,3,22,0
38,89274,0,2,0,1,1,22,0
31,96902,1,4,0,6,1,30,1
34,74552,1,2,1,13,2,5,0
40,97610,1,3,0,7,3,22,0
31,76839,2,4,0,7,4,9,0
46,83345,1,3,0,17,2,18,0
42,62983,1,4,1,7,1,3,1
29,57857,0,4,0,3,2,17,1
31,104586,0,3,1,10,4,17,0
39,75873,0,2,0,6,3,1,0
44,94456,0,2,1,15,3,4,0
34,91978,1,4,1,11,2,5,0
32,85092,1,3,1,8,3,7,1
30,109076,0,2,0,5,3,30,1
33,60521,1,4,0,5,3,1,0
37,102078,0,4,0,18,3,1,0
43,92807,1,4,1,15,3,5,0
22,92569,1,3,0,2,2,7,1
32,94998,1,4,0,6,4,1,0
38,101093,1,2,0,9,3,12,0
36,96038,2,1,0,2,2,22,0
43,63676,0,1,1,14,3,1,0
45,114337,1,2,1,9,3,8,0
36,96587,2,3,1,15,1,5,1
36,44749,0,1,1,8,3,4,1
40,94350,1,2,0,13,2,26,0
22,45448,0,2,1,1,4,14,1
35,109653,1,3,0,12,3,1,0
41,71274,1,3,1,16,2,1,0
39,62685,1,3,1,11,3,26,1
36,76785,0,1,0,11,4,21,0
33,89036,0,1,1,1,3,15,1
42,89530,1,4,0,20,1,7,0
36,95311,1,2,0,2,4,9,0
34,104959,1,2,0,2,3,1,0
40,88473,1,3,0,8,2,3,0
30,95484,1,3,1,6,3,18,0
46,92191,1,1,0,8,2,3,0
44,58457,1,3,0,4,2,30,1
37,115034,2,4,0,17,2,2,0
29,66309,1,3,0,6,3,3,0
35,114433,0,3,1,10,3,17,0
39,92126,0,4,0,3,4,12,0
29,86768,1,4,1,1,2,1,0
30,80224,0,2,0,2,2,1,0
34,102112,1,1,0,6,4,13,0
37,81775,1,3,1,3,2,1,0
42,124311,0,4,0,14,3,9,0
52,83093,2,2,1,5,2,20,1
31,92269,1,3,0,7,3,2,0
52,100464,1,3,0,16,2,3,0
32,111553,1,2,1,13,3,3,1
31,126173,2,2,0,2,3,13,0
43,83752,1,3,0,10,1,1,0
30,116169,1,4,0,6,3,2,0
31,81801,2,2,0,8,2,1,1
41,109940,1,4,0,1,4,4,0
27,75214,0,4,1,1,3,24,1
