ClaimAmount,CustomerAge,PolicyYears,AccidentSeverity,NumberOfClaims,VehicleAge,PremiumAmount,Fraudulent
4670,50,13,1,1,8,1426,0
4268,52,9,0,1,8,1847,0
864,42,15,0,1,1,1470,0
1378,30,3,1,2,12,2141,0
1746,18,1,0,1,9,1401,0
3171,65,2,0,1,17,1835,0
4880,27,6,0,5,14,2129,0
3351,60,7,1,4,12,1772,1
3686,49,2,1,2,4,1462,0
8000,49,5,2,4,6,2158,0
11281,40,2,2,2,2,1721,1
5319,25,4,0,1,7,1700,0
2022,36,11,2,4,5,1924,1
2687,73,10,0,1,5,1506,0
11088,51,10,0,2,6,2046,0
1212,35,12,0,1,5,1651,0
1668,62,3,0,3,7,2024,0
5049,59,4,0,1,9,1498,0
6901,35,11,1,1,6,2030,0
3485,41,13,1,1,5,1696,1
4111,39,11,1,3,2,1958,0
5915,49,14,0,1,9,1526,0
2401,42,6,1,1,1,1506,0
2207,67,9,0,4,9,2163,0
12525,43,13,0,1,3,1806,0
9223,49,4,2,1,5,1486,0
7711,60,14,1,4,6,1796,0
1779,59,12,2,4,4,2170,0
3913,31,9,0,1,15,1880,1
6092,59,1,0,4,12,1850,0
2696,54,8,2,1,8,1922,0
7215,49,14,0,1,1,1498,0
23165,42,6,1,3,3,1475,1
2797,50,3,1,1,7,1371,0
4087,65,3,1,1,3,1326,0
4861,43,14,2,2,5,1962,0
3319,36,15,0,2,8,1475,0
5569,38,12,0,1,10,1659,0
3561,54,12,0,2,1,1505,0
6143,25,3,2,1,10,1777,1
4668,30,11,0,2,8,1709,0
13629,32,10,0,4,6,1708,0
10198,73,3,0,1,7,1755,0
4233,30,2,0,1,1,1388,0
5151,49,15,1,3,1,1909,0
9242,55,10,0,3,11,1937,0
10762,31,3,0,1,2,1507,0
589,48,11,0,1,9,1610,0
3846,23,1,1,1,1,1219,0
2763,27,6,2,1,4,1384,0
5398,45,8,1,1,9,1333,0
3394,62,5,0,3,4,1496,0
2315,54,1,2,2,1,1614,1
1184,34,14,1,1,8,1657,0
7506,59,15,2,1,2,1662,0
9557,57,15,1,1,6,1585,0
3996,34,2,1,2,12,1923,1
5618,59,5,0,1,7,1506,0
3056,33,3,2,2,9,1264,0
3132,66,10,0,2,5,1367,0
9959,44,6,0,1,8,1610,0
6305,41,5,0,1,6,1425,0
2501,57,4,2,1,13,1292,0
9577,37,14,2,1,3,1857,0
14966,64,11,0,1,4,1386,0
6941,51,6,1,1,8,1300,0
7802,35,6,0,1,9,1519,0
7528,35,4,0,3,5,1568,0
8706,80,6,2,1,7,1673,0
3968,46,5,1,1,7,1373,0
12819,18,1,2,1,1,1396,1
23788,47,11,0,2,3,1775,0
3977,41,10,1,1,7,1582,0
3888,48,11,1,2,5,1956,0
1393,70,4,1,1,6,1499,0
6982,18,1,0,2,1,1718,1
4190,74,10,1,3,11,1688,0
5582,49,14,2,3,9,2153,0
13946,55,1,0,1,11,1577,0
4921,60,9,1,3,3,1877,0
500,29,7,2,1,10,1891,1
7955,50,15,0,2,1,1825,0
4256,48,3,1,2,9,2009,0
1473,44,3,1,3,11,2256,0
6120,18,1,2,1,5,1363,1
15913,46,2,0,4,9,2184,0
12051,64,10,0,2,5,1777,0
20741,25,3,1,1,8,1318,0
32253,44,6,2,2,2,1487,0
9004,48,4,1,1,11,1511,0
4443,26,4,0,3,13,1993,1
10468,37,9,2,1,6,1551,1
9734,49,15,1,1,2,1627,0
1191,53,11,0,1,15,1863,0
12819,40,5,1,1,13,2243,0
1724,58,9,1,2,4,1137,0
14076,18,1,0,1,9,1738,0
10285,55,10,0,1,5,1437,0
5603,43,12,2,1,11,1472,0
9733,80,15,1,1,1,1848,0
1726,49,9,2,1,4,1698,0
1497,18,1,0,1,6,1720,0
9863,31,9,1,1,8,1841,0
7785,43,7,0,2,8,1359,0
5988,25,4,2,1,6,1416,1
3036,52,4,0,3,6,1631,0
3387,54,2,0,1,21,2121,0
5691,53,7,2,1,4,1365,0
9521,61,14,0,1,8,1234,0
1652,39,9,0,1,9,1748,0
4134,49,14,1,1,4,1684,0
5796,48,6,0,1,7,1463,0
1322,26,4,0,1,11,1460,0
1295,55,13,0,3,5,1995,0
5052,49,14,1,3,8,1815,0
3776,41,4,0,3,9,1821,0
10393,33,8,1,1,11,1616,1
8788,44,9,0,2,10,1916,0
8243,34,11,2,1,4,1722,0
6503,57,6,0,1,7,1636,0
33062,48,10,0,1,1,1450,0
7561,51,9,2,2,10,1793,0
2038,36,8,1,3,8,2025,1
4624,50,10,1,1,8,1182,0
18476,41,12,2,5,5,2126,0
10036,30,5,1,1,8,1495,0
7308,65,3,2,2,1,1802,0
19930,34,8,0,1,12,2099,0
6684,47,9,2,1,13,1696,0
12866,41,9,2,1,9,1625,1
3675,68,5,1,1,11,1529,0
7064,39,5,0,1,5,1458,0
8887,48,15,0,2,7,1767,0
2535,49,6,2,1,8,1613,0
1307,21,2,1,4,1,1929,1
1473,23,1,0,4,7,1562,0
2238,28,4,0,3,6,1815,0
9831,50,9,0,1,6,1209,0
3801,46,7,1,1,12,1629,0
5733,65,14,0,1,1,1670,0
2988,64,14,2,2,7,1571,0
4353,42,15,0,4,9,2151,0
6499,55,8,0,3,5,2125,0
2812,61,6,0,4,3,1757,0
4003,53,3,1,2,4,1641,0
4222,70,9,0,2,11,1638,0
3003,42,13,0,1,12,1624,0
3580,56,8,0,2,14,2133,0
6047,23,2,0,2,13,1809,1
557,44,14,0,1,10,1769,0
14712,46,12,0,1,3,1396,0
24554,18,1,1,3,5,2182,1
4269,53,3,2,2,9,1774,0
2255,37,12,0,1,7,1358,0
3960,49,6,0,1,6,1677,0
8020,47,13,1,1,11,1851,0
7829,43,10,0,2,11,1678,1
1186,51,11,2,2,4,1629,0
5325,38,12,1,5,8,2267,0
4069,67,5,1,2,2,1814,0
14213,43,2,1,1,4,1530,0
2312,59,14,1,2,1,1402,0
6982,59,15,0,2,6,1572,0
2528,61,12,1,2,5,1819,0
2835,38,9,2,3,3,1698,1
4018,58,7,1,2,9,2075,0
8635,31,5,1,1,8,1660,1
10944,56,6,1,5,14,2306,0
1653,51,6,1,4,1,2005,0
1555,50,5,2,1,11,1700,0
2292,48,10,1,1,9,1495,0
9585,42,10,1,1,1,1415,0
2536,55,9,0,1,12,2138,0
15629,50,4,1,2,8,1723,0
727,38,7,0,1,6,1312,0
4437,58,4,2,2,9,2218,0
4719,59,1,1,1,16,1789,0
3783,29,2,1,4,6,2047,0
5182,52,4,1,1,3,1428,0
15082,55,2,0,3,5,2011,0
2819,80,5,1,1,1,1161,0
4173,45,8,2,2,1,1566,0
3481,58,11,1,1,5,1136,0
1972,41,3,0,1,1,1278,0
13567,44,8,2,1,8,1345,0
10913,64,14,1,2,10,1910,0
3941,58,2,0,1,11,1559,0
5241,61,4,0,2,6,1357,0
14592,18,1,1,1,10,1393,1
2340,38,3,1,2,7,1623,0
5755,27,8,0,1,6,1877,0
8771,57,1,0,5,9,2207,0
1917,41,7,0,1,10,1572,0
3277,18,1,0,1,12,1817,0
3398,34,4,1,1,11,1599,0
1756,47,12,0,1,5,1555,0
4136,64,14,0,3,11,1847,0
5069,22,3,2,4,10,2291,1
2616,18,1,0,1,7,1332,1
12153,45,8,0,2,14,1632,0
7110,37,13,2,2,4,1950,0
8028,31,4,1,1,5,1621,0
7063,36,2,0,2,6,1401,0
16446,78,7,1,1,14,1941,0
4270,35,14,1,5,3,2054,0
4316,46,4,1,1,3,1350,1
1248,59,13,2,1,13,1631,0
8690,45,12,0,1,1,1235,0
4106,31,2,0,2,5,1745,1
5143,48,7,0,4,6,2086,0
5750,64,11,2,1,13,1935,1
4235,53,13,0,2,9,1401,1
13880,46,15,1,2,13,1638,0
3264,38,6,2,1,3,1665,0
1945,44,1,2,2,2,1478,0
3914,39,1,1,2,6,1477,1
2343,43,10,0,1,8,1325,0
3919,50,8,2,1,6,1748,0
6212,39,8,0,2,6,1944,0
6758,62,12,0,2,8,2154,0
10006,68,6,2,3,9,2090,1
33806,52,12,1,2,6,1524,0
1876,70,2,1,2,12,1945,0
4118,37,11,0,1,6,1730,0
8732,45,11,1,1,7,1452,0
3662,34,14,0,1,1,1258,0
7272,18,1,1,1,4,1778,1
1475,46,10,0,2,13,1942,0
5220,68,12,0,5,7,2486,0
31393,56,9,1,1,4,1313,0
3723,55,10,2,3,5,1918,0
3838,53,12,0,1,6,1121,0
10782,43,1,0,1,7,1675,0
10791,59,4,1,1,5,1495,1
21295,40,11,0,1,11,1988,0
18102,62,3,1,1,6,1758,1
7147,40,15,0,3,9,1720,0
27835,19,1,1,1,4,1322,0
1331,43,4,0,3,1,1641,0
4981,47,14,2,1,1,937,0
14494,47,14,1,1,5,1605,0
5909,41,3,0,1,6,1682,0
6622,46,8,1,1,8,1394,0
10551,67,13,0,1,8,1433,0
6394,65,11,0,1,6,1638,0
5936,41,13,0,5,3,2260,0
6696,45,2,0,1,5,1555,0
3217,55,15,1,3,2,1621,0
3832,33,10,0,1,11,1757,0
16334,47,7,1,1,10,2004,0
2112,54,1,0,2,10,1830,0
4785,41,14,0,1,8,1447,0
4056,31,4,1,1,10,1441,1
8512,45,4,1,3,5,2167,0
5024,44,2,0,2,8,1642,0
9194,48,9,2,1,6,1942,0
3618,47,15,0,1,10,1245,0
6942,36,11,2,1,11,1811,0
2570,43,10,2,1,6,1575,0
3041,53,9,1,2,8,2003,0
8818,35,2,0,1,1,1763,0
11627,35,7,1,1,9,1668,0
30444,24,3,0,1,5,1498,0
3911,46,4,0,1,8,1318,0
7925,23,1,1,4,10,2057,0
4344,45,13,0,3,7,2258,0
3788,34,5,0,2,11,2097,0
1863,53,4,2,3,4,1711,1
3477,68,14,1,1,7,1486,0
2961,18,1,0,2,9,1564,0
6973,33,10,0,1,1,1508,0
4289,57,3,1,2,11,1866,0
6101,41,8,1,1,13,1996,0
1311,36,14,1,1,13,1671,0
3860,46,14,2,1,10,1284,0
2841,55,3,0,2,10,2303,0
3285,27,4,0,4,6,1823,1
7851,27,6,0,2,7,2076,0
6263,52,5,1,2,1,1426,0
2832,73,12,2,4,7,2080,0
951,38,6,2,1,10,1633,0
4694,35,12,0,2,6,1512,0
2255,41,8,0,1,10,1675,0
2619,33,11,0,1,14,1567,0
4009,36,2,0,3,4,2088,0
4434,41,7,0,3,7,2186,0
2091,51,1,0,1,4,2116,0
2790,40,12,0,3,3,1900,0
12603,38,3,0,3,5,2043,0
3235,48,10,1,1,11,1817,0
9041,54,8,1,5,9,2064,1
17680,19,1,0,3,11,1933,0
3117,50,9,1,1,1,1397,0
10705,47,5,1,1,11,1716,0
2426,46,14,1,1,7,1468,0
6177,42,2,0,1,8,1568,0
5426,70,7,1,1,7,1517,0
4566,39,7,0,1,8,1703,0
3874,60,10,2,4,8,2343,0
4793,55,3,0,2,9,1991,0
2936,60,13,0,1,6,1455,0
2778,33,5,0,1,11,1523,0
18787,46,12,0,1,1,1024,0
3194,54,7,0,1,5,1243,0
16334,53,13,0,1,11,1728,0
3290,63,14,1,1,8,1791,0
5409,60,1,1,1,6,1538,1
12247,62,1,1,1,10,1819,1
9411,38,4,0,1,3,1259,0
1988,44,6,0,2,1,1488,0
3076,53,7,1,1,7,1448,0
2000,77,4,1,1,2,1162,0
18214,32,4,0,1,8,1646,0
4707,48,7,0,4,10,2202,0
7241,35,6,0,1,9,1263,0
1792,59,2,0,2,10,1870,0
13103,56,11,1,2,9,1715,0
2156,31,11,1,5,10,2282,0
12666,55,14,1,1,5,1401,0
3460,35,12,0,1,7,1585,0
10065,41,12,0,2,12,1752,0
14747,59,11,1,5,2,1912,1
3687,39,9,1,2,9,2035,0
3715,49,12,0,2,8,1528,0
2582,42,15,1,1,6,1494,0
11937,35,3,0,1,3,1533,1
8681,48,13,1,1,10,1922,0
2865,44,10,1,1,2,1832,0
1285,31,6,2,1,4,1521,1
1254,62,14,0,2,2,1437,0
3552,45,3,1,1,6,1733,0
1619,49,3,1,1,10,1696,1
2987,34,14,1,2,9,1698,1
9627,76,15,1,1,10,1741,0
26872,21,2,0,1,6,1344,0
2799,46,10,0,2,12,1923,0
863,32,7,0,3,7,1937,0
4445,43,1,1,1,5,1265,0
998,22,2,2,2,12,1787,1
2331,49,4,0,2,4,2032,0
4171,41,5,1,1,9,1888,0
4691,48,10,1,1,4,1009,0
6420,18,1,1,1,8,1021,0
11626,58,14,0,1,8,1373,0
6529,59,5,2,2,8,1882,0
1596,28,6,1,1,1,1496,0
5732,59,12,0,1,11,1829,0
4660,41,7,1,5,7,2233,0
2095,46,1,1,2,4,1427,1
13440,65,6,2,1,6,1391,1
3516,74,9,0,4,9,2026,0
2489,53,15,1,2,3,1402,0
2800,28,3,0,1,8,1511,0
3881,30,10,0,1,7,1637,0
4823,40,13,2,1,5,1757,0
2097,28,9,0,2,4,1767,0
5986,37,8,1,1,3,1207,1
6403,18,1,0,1,15,1823,0
3703,48,9,2,1,6,1691,0
5444,32,12,2,1,8,1398,0
8221,37,8,0,3,11,2011,0
6672,54,13,0,1,13,1627,0
2332,46,3,1,1,3,1516,0
4594,61,15,0,2,11,1613,0
9184,53,5,1,1,3,1308,1
10208,18,1,1,3,6,2166,1
2875,63,5,0,2,1,1568,0
1904,35,11,0,2,8,1676,0
5589,60,6,1,1,5,1310,1
2920,42,10,2,1,1,1470,1
4685,38,12,0,1,8,1268,0
3933,49,7,1,1,12,1788,0
5095,35,11,1,1,5,1272,0
4135,24,2,1,3,3,1568,1
7129,46,14,0,2,11,1862,0
33982,34,13,0,1,1,1232,0
1517,57,8,0,1,6,1736,0
1499,30,5,1,3,10,2014,0
5272,25,1,1,2,10,1885,0
6125,45,1,0,1,4,1617,0
22742,36,5,1,1,8,1878,0
837,49,4,0,1,1,1299,0
7101,63,13,1,1,7,1555,0
6648,40,9,0,1,12,1839,0
6928,46,12,1,1,4,1581,0
1519,63,11,1,2,6,1678,0
7280,41,1,0,1,1,1235,0
12584,76,4,0,1,12,1798,0
2126,46,3,1,1,9,1900,0
20118,35,2,2,2,8,1636,0
3283,57,6,1,2,13,2067,1
4457,56,9,1,1,7,1582,0
6579,28,6,1,1,3,1625,0
6282,21,1,2,1,5,1728,1
1543,47,10,0,2,7,1730,0
6594,39,9,0,2,7,1403,0
12491,40,1,0,1,6,1409,0
13201,49,6,1,5,11,2484,0
5568,31,12,0,1,8,1364,1
10631,50,2,1,1,3,1457,1
4320,44,5,1,2,9,1642,0
8616,30,8,1,1,4,1645,0
14074,72,9,1,1,5,1108,0
35684,23,2,1,1,12,1890,1
5865,54,1,0,1,9,1414,0
6339,44,13,1,1,6,1541,0
2212,42,12,1,1,5,1398,1
2810,57,12,0,2,14,1944,0
11575,56,8,0,3,13,1981,0
13026,18,1,0,1,4,1337,1
1955,58,1,0,1,1,1291,0
5693,25,2,0,1,4,1662,0
4511,53,15,0,1,6,1654,0
6708,52,10,0,3,6,1754,0
10363,36,6,2,1,14,1732,0
5304,33,1,1,1,11,1655,1
2080,52,11,1,1,3,1247,0
5129,49,14,0,3,12,2156,0
10068,68,15,0,2,5,1701,0
6066,57,1,1,1,3,1219,0
4661,41,11,0,1,13,1830,0
3570,45,13,1,1,2,1180,0
2600,18,1,0,1,4,1389,0
8841,47,9,2,2,9,1856,1
4071,50,15,0,1,3,1616,0
4600,47,4,0,1,13,1628,1
2504,32,8,0,2,12,1808,0
15150,37,2,0,3,5,1660,0
4787,41,14,2,1,1,1539,1
3062,18,1,1,3,5,1588,1
10302,66,11,0,1,8,1610,0
2810,19,1,1,4,11,2335,0
28458,40,6,0,1,11,1667,0
17469,52,12,1,3,7,2015,0
5739,45,11,1,2,4,1847,0
3424,49,3,2,1,6,1350,0
3494,26,6,2,2,3,1496,1
5233,48,1,2,1,8,1736,1
12962,33,3,0,2,4,1903,0
4117,44,9,2,1,5,1823,0
6778,38,14,2,1,7,1401,0
2882,37,10,0,2,5,1366,0
9433,62,3,1,1,8,1625,0
2768,33,8,0,5,12,2519,0
5787,48,12,0,1,9,1700,0
2787,54,6,1,3,10,1916,0
3697,45,14,2,1,4,1457,0
9898,34,7,1,1,1,1244,0
13012,42,6,1,1,4,1487,0
5349,27,7,1,1,6,1615,0
40432,38,15,0,2,1,1542,0
5678,28,3,1,1,11,1850,0
5298,37,12,0,1,10,1817,0
14588,49,3,2,1,9,1431,1
3520,72,2,2,1,9,1499,1
2560,41,5,1,1,4,1771,0
8643,64,8,2,2,3,1428,1
3388,22,1,0,2,8,1584,0
16071,29,8,0,3,7,1993,0
8264,42,1,0,3,7,1901,0
6986,29,8,0,1,15,1599,0
8261,65,3,0,1,8,1434,0
2529,46,15,1,3,5,1834,1
1875,57,2,2,1,8,1484,0
2501,52,5,2,1,9,2044,0
3363,49,4,1,2,4,1717,0
994,24,4,0,1,10,1755,0
2441,37,4,0,2,1,1106,0
2167,42,10,1,1,4,1092,0
1698,32,8,0,3,8,2087,0
1777,36,12,1,1,1,1618,0
2810,22,2,0,1,7,1804,0
10108,44,5,0,1,1,1243,0
9129,41,8,0,2,9,1671,0
8796,22,3,0,2,9,1281,0
61545,55,10,2,1,13,1649,1
10461,34,7,0,2,9,1973,0
12383,36,7,0,1,6,1783,0
14109,45,15,2,3,12,1618,0
5213,49,14,0,1,12,1613,0
7544,46,8,0,1,11,1772,0
3811,28,8,0,2,7,1824,0
7811,23,2,0,4,3,2193,0
681,46,14,0,1,7,1338,0
6512,35,6,0,1,2,1270,0
5780,44,12,0,1,8,1376,0
500,28,9,0,2,7,1303,0
11482,61,5,2,4,3,1944,0
10771,57,14,1,1,3,1788,0
1504,58,7,0,2,6,1671,0
1066,33,13,2,1,7,1456,0
9970,49,8,0,1,11,1680,0
2664,44,1,1,1,1,1624,0
1320,54,1,0,2,7,1489,0
1671,62,13,0,5,5,1978,0
2691,64,2,1,2,11,2010,0
19555,40,15,2,1,5,1632,0
4820,35,5,1,3,6,1984,0
3799,34,10,1,2,11,1953,0
5163,23,4,1,2,12,1739,1
7432,26,4,0,1,6,1328,0
2156,50,7,0,5,5,2185,0
20675,38,13,0,2,8,1634,0
4042,47,14,1,1,3,1410,0
3019,48,10,0,1,6,1420,0
3549,57,5,1,1,11,1559,0
4650,42,4,0,1,7,1596,0
2204,25,1,1,4,7,1714,1
13051,54,11,0,1,11,1932,0
1635,56,1,0,1,1,1215,0
24748,47,11,0,2,4,2029,0
20474,65,14,1,1,7,1692,0
1069,54,12,0,1,7,1862,0
13084,27,4,0,3,8,1841,1
19641,47,1,0,3,9,1919,1
3315,52,11,0,1,9,1803,0
14330,31,7,0,2,10,1977,0
4323,66,8,0,1,5,1586,1
13135,46,4,1,5,11,2482,1
3428,35,11,2,1,7,1496,0
4320,60,5,1,1,13,1872,0
5870,43,2,0,2,6,1933,0
2023,18,1,0,1,12,2283,0
6061,36,12,1,2,8,1538,0
3904,58,6,1,2,9,1803,1
3080,80,13,1,1,14,1980,0
3712,23,2,1,3,2,1616,0
2998,22,2,1,1,1,1113,0
2851,41,13,1,1,9,1729,0
2140,67,15,2,2,4,1693,0
9025,51,5,0,2,6,1368,1
8124,58,10,0,1,5,1348,0
7590,57,10,0,3,1,1558,0
5847,64,15,1,2,3,1764,0
3905,40,3,1,1,5,1300,0
2036,52,7,0,1,1,1233,0
9560,55,13,2,2,10,1814,0
8904,48,8,0,1,9,1771,0
2766,32,8,0,1,5,1436,0
18083,50,2,1,1,3,1517,0
1786,49,12,0,1,1,1419,0
12663,38,7,1,1,6,1491,0
1974,57,2,0,1,9,1772,0
4114,35,2,1,1,7,1785,0
899,40,14,1,1,10,1713,0
6612,51,4,1,1,10,1561,0
5940,44,13,0,1,1,1409,0
1786,48,6,0,1,7,1336,0
3262,42,14,1,1,2,1470,0
3246,48,7,0,1,12,1579,0
13649,33,8,1,1,10,1821,0
7367,30,11,0,1,4,1672,0
3927,30,11,0,1,5,1589,0
11242,45,1,2,2,11,1878,1
2653,60,1,1,3,2,1236,1
8981,69,6,0,4,8,1743,0
6426,33,13,0,4,6,2266,0
3252,39,10,0,1,10,1655,0
1034,29,2,1,1,7,1629,0
6098,48,1,1,2,2,1694,1
2782,55,5,0,1,5,1535,0
7137,28,2,1,1,8,1966,0
5893,32,1,1,1,16,2150,1
856,38,3,0,4,11,2278,1
4994,65,15,0,1,11,1822,0
4276,44,8,0,3,8,1826,0
16904,59,12,1,2,13,2182,1
2055,53,14,0,1,5,1223,0
1091,25,2,0,2,4,1550,0
1361,27,4,0,1,2,1479,0
13341,28,6,0,2,4,1602,0
2574,43,12,0,1,2,1009,0
75000,34,9,1,2,10,1738,1
2072,53,2,2,2,7,1578,0
3670,39,11,1,1,7,1894,0
2669,18,1,0,4,10,2165,0
2606,55,1,2,1,9,1431,0
10562,58,15,2,4,1,1979,0
3716,32,3,0,3,5,1754,0
12191,48,14,0,3,3,2004,0
18641,35,2,2,1,5,1506,1
6619,28,3,0,1,10,1563,0
6331,63,4,2,1,3,1567,0
10846,45,5,0,1,10,1649,0
5970,46,6,0,2,3,1628,0
22533,51,8,0,3,8,2143,0
3425,56,15,2,1,1,1369,0
7724,53,10,0,1,3,1451,0
2236,44,14,0,1,10,1641,0
7118,52,2,1,2,1,1941,0
5200,43,4,0,1,7,1955,0
2978,48,6,1,2,18,2077,0
3355,38,1,1,1,6,1660,0
7981,43,9,1,1,4,1670,0
5482,45,2,0,1,15,1218,0
36919,43,15,1,1,8,1418,1
4182,75,11,1,5,6,1906,0
1807,51,2,0,3,11,2134,1
6488,29,6,0,2,7,1904,0
10056,32,7,0,1,15,1621,0
3622,51,5,0,1,6,1766,0
6196,33,8,0,1,5,1287,0
2733,29,9,0,1,1,1550,0
2291,43,14,1,1,2,1304,0
12926,27,5,0,5,14,2259,0
2775,47,8,1,1,8,1670,1
2177,42,13,0,3,13,2144,0
1932,54,12,1,1,8,1678,0
3729,60,2,0,1,10,1869,0
32401,54,2,0,1,5,1558,0
5124,38,10,2,2,4,1911,1
5650,47,1,0,1,6,1592,0
3138,53,9,0,2,8,1680,0
3923,37,7,0,5,10,2471,0
6560,53,7,2,2,1,1508,0
2910,39,5,0,1,5,1573,1
11850,43,4,2,1,4,1151,1
7860,29,9,0,1,7,1778,0
2436,26,7,0,4,7,1796,1
2910,58,7,2,4,13,2145,0
6289,38,2,1,1,13,1670,0
9596,51,6,0,2,12,1600,0
4052,49,2,0,3,4,1808,0
3151,45,3,1,2,18,1964,1
2717,61,5,0,4,3,1530,0
3447,27,1,0,2,6,1903,1
5370,56,7,2,1,10,1984,1
8479,50,10,0,1,3,1195,0
1331,50,4,0,1,5,1453,0
3176,51,13,0,2,8,1734,0
5415,56,15,1,2,6,1745,0
4655,52,9,0,2,8,1973,0
8483,30,6,0,1,6,1790,0
10932,65,2,1,1,1,1406,0
4891,53,8,1,4,6,1835,0
4882,18,1,0,2,1,1348,1
6891,51,8,2,2,9,1708,0
1378,18,1,1,2,11,1955,1
4234,62,4,0,3,5,1811,0
7215,35,3,0,1,5,1578,0
5884,29,3,1,3,9,1778,0
4841,39,9,0,1,8,1423,0
3645,47,12,2,3,8,1786,0
8153,48,11,0,1,1,1096,0
4885,52,8,1,2,3,1664,0
3990,58,12,1,1,3,1357,0
6774,47,5,2,1,13,1889,1
2820,52,3,0,1,9,1565,0
10989,50,12,0,1,6,1247,0
9199,26,2,0,1,13,1546,0
4991,66,4,1,1,10,1795,0
2575,31,2,2,5,1,2182,1
4123,65,7,1,2,8,2109,1
6121,49,15,0,2,1,1706,0
2420,46,11,0,1,2,1533,0
2777,41,1,0,1,9,1457,0
4089,56,3,0,1,1,1331,0
5071,42,10,0,1,6,1699,0
7772,72,7,0,1,3,1426,0
18655,43,15,0,1,7,1452,0
2892,50,12,0,1,8,1414,0
19946,55,6,2,1,1,1229,1
3284,63,1,0,1,4,1260,1
3129,73,15,1,1,1,1292,0
8827,44,5,0,1,5,1752,0
2849,66,1,0,4,11,2236,0
3091,42,3,1,1,7,1662,1
7469,62,2,2,2,8,1705,0
2197,38,12,0,1,8,1806,0
7357,51,12,0,1,5,1504,0
7111,50,1,0,3,6,1874,0
4815,38,13,2,1,5,1620,0
883,45,14,0,1,7,1600,0
21009,45,12,2,1,8,1226,0
3453,38,8,2,4,4,1790,0
14391,56,9,1,3,9,2049,1
2965,46,15,0,3,12,2002,0
2088,51,5,0,2,11,1736,1
35933,49,5,1,2,12,1868,0
1622,54,3,0,4,9,2336,1
13423,80,3,0,5,1,2284,0
4041,26,3,0,1,1,1287,0
4291,35,10,2,1,12,1464,0
3873,50,2,2,1,3,1285,1
7474,51,13,0,1,1,1507,0
3034,73,15,0,1,1,1564,0
17698,58,10,0,2,1,1322,0
1214,65,1,0,1,9,1771,0
3412,48,8,1,1,3,1180,0
7837,56,12,0,4,12,2543,0
13043,30,8,0,1,6,1469,0
11394,54,4,0,2,3,1843,0
2682,40,11,1,2,6,1634,0
3215,39,9,1,4,4,1682,0
4275,60,15,1,1,8,1797,0
3013,57,4,2,1,5,1474,0
2468,35,6,1,1,6,1493,0
25231,68,3,0,1,10,1624,1
17612,46,4,0,1,10,1618,0
1872,62,10,1,1,8,1344,0
7190,42,12,0,1,8,1274,0
6132,31,2,0,2,4,1540,0
3439,56,15,1,1,6,1577,0
2242,61,13,0,1,9,1531,0
22881,41,14,0,1,2,1581,0
10919,67,4,0,2,13,1937,0
9881,46,7,1,1,8,1590,0
5246,42,4,0,1,5,1663,0
2585,41,1,1,1,10,1345,0
10892,53,1,1,1,4,1351,0
