ClaimAmount,CustomerAge,PolicyYears,AccidentSeverity,NumberOfClaims,VehicleAge,PremiumAmount,Fraudulent
16617,44,3,1,1,8,1738,0
4883,68,2,1,2,12,1468,0
8113,39,7,1,1,1,1517,0
7392,45,11,0,3,14,2160,0
15192,50,10,0,1,11,1279,0
6151,36,15,1,1,9,1481,0
9714,61,3,2,2,13,1776,1
9212,45,6,2,1,6,1590,0
19254,51,2,1,1,1,800,0
12593,30,8,1,1,7,1587,1
9846,59,8,1,5,17,2397,1
17191,50,9,2,1,14,2067,1
13689,67,11,0,1,8,1379,0
6100,58,11,0,1,12,2012,0
3295,45,5,2,1,8,1590,1
14881,41,9,0,2,17,2022,0
8743,52,13,1,1,12,1550,0
34912,42,8,0,1,9,1706,0
23502,46,9,1,1,9,1585,0
7037,50,7,2,2,11,1893,1
6889,47,7,0,4,15,2543,0
35935,40,6,0,1,9,1431,0
9286,31,7,1,3,9,1779,0
8465,20,1,0,1,10,1684,0
3039,37,3,2,1,8,1787,1
5522,18,1,1,2,14,1836,1
30642,60,15,0,2,8,1692,0
39376,54,7,1,4,17,2568,0
23173,51,7,1,2,10,1600,0
7055,68,1,0,1,14,1372,0
15437,34,2,0,5,16,2723,0
6451,30,8,1,1,8,1812,0
54775,54,13,0,1,3,1332,0
23389,52,6,1,1,8,1405,0
8687,18,1,1,1,6,1405,0
15758,39,6,0,1,7,1642,0
11505,50,13,1,3,12,1967,0
14662,43,6,2,1,14,1844,0
11336,40,7,1,1,9,1728,0
4183,46,5,0,2,5,1688,0
22939,41,11,0,1,12,1678,0
3029,44,10,1,4,1,1950,0
6286,73,13,0,2,1,1654,0
10542,18,1,1,5,5,2301,1
30230,61,5,0,3,13,2169,0
14488,49,3,0,3,13,2082,0
5300,42,6,0,2,11,1716,0
5807,47,3,1,1,3,1447,0
16199,43,9,0,1,4,1602,0
19436,43,8,1,1,14,1959,0
9401,54,12,0,2,6,1606,0
4506,50,7,0,3,15,2188,0
21132,44,4,0,2,12,1976,0
17846,40,2,0,1,12,1454,0
2286,53,7,0,3,11,1717,0
21993,61,7,0,1,12,1761,0
8776,45,10,0,3,12,2317,0
55314,32,2,0,2,15,1981,1
3165,68,13,0,1,7,1179,0
7383,43,8,0,2,15,1712,0
16022,65,8,1,1,7,1367,0
29504,51,14,1,1,14,1717,0
9733,35,9,2,1,13,1649,0
15863,49,4,0,1,10,1465,0
10557,51,14,0,1,7,1141,0
4886,59,15,0,3,13,2199,0
19178,45,2,1,5,7,1937,1
28043,50,3,1,1,12,1567,0
20318,38,1,0,1,10,1955,0
14792,25,6,0,3,11,1977,1
10846,45,11,0,3,10,1637,1
17880,37,9,2,1,8,1296,0
5725,52,2,0,2,8,1927,0
23747,72,12,0,1,12,1755,0
10856,52,15,0,1,11,1491,0
7797,50,11,0,1,14,1709,0
14815,38,13,1,1,22,1995,0
7602,43,1,0,5,12,2649,0
9757,48,14,2,1,7,1429,0
20895,22,3,1,1,10,1746,1
4854,32,3,2,1,15,2000,1
20434,66,14,0,1,12,1630,0
22791,28,8,1,1,12,1550,0
10441,55,6,0,1,15,1568,0
2833,59,3,0,1,10,1499,0
23986,62,11,0,2,2,1715,0
8223,27,2,0,1,11,1682,0
12563,38,15,2,1,18,1760,0
17981,41,4,2,2,15,1666,1
6634,48,1,2,1,9,1575,0
24334,24,4,0,1,6,1542,0
5204,38,15,1,1,11,2068,0
9363,50,9,0,1,10,1931,0
5070,43,7,0,2,12,1884,1
5617,18,1,1,2,18,1957,1
4489,18,1,2,1,5,1344,1
25586,42,11,1,1,10,1824,0
9383,23,2,1,2,15,1708,1
5391,61,9,0,1,7,1688,0
30019,33,14,1,2,6,1732,0
2636,36,9,1,1,3,1386,0
12761,20,1,1,2,5,1459,1
20323,49,14,2,1,16,1778,0
11300,55,6,2,4,15,2102,0
7385,38,15,0,4,9,2129,0
9389,58,4,1,1,14,1577,0
15068,46,13,2,1,13,1561,0
10331,54,6,0,1,18,2088,0
9521,48,5,0,2,15,2232,0
5864,49,9,1,3,8,1837,0
7117,37,5,0,1,13,1426,0
23056,46,6,1,2,8,1765,0
22924,38,8,0,2,9,1525,0
4495,75,5,0,1,10,1687,0
41659,51,4,0,1,9,1725,0
1543,39,13,1,2,7,1673,0
10390,34,1,1,1,5,1397,0
7584,48,5,0,1,12,1637,0
12731,38,9,2,2,13,1584,1
48116,53,2,2,1,1,1649,1
6580,43,12,1,1,9,1493,0
1033,34,8,0,1,15,1515,1
8492,47,12,1,3,9,1657,1
8108,61,6,0,1,6,1624,0
21097,56,2,0,2,21,1646,0
8739,49,9,0,2,18,1898,0
18564,18,1,2,1,8,1702,1
18624,46,9,0,2,5,1653,0
6411,20,1,0,1,5,1732,1
8997,30,2,0,1,12,1869,0
6912,49,13,0,1,4,1353,0
24972,22,3,0,3,18,2293,0
1459,20,1,0,1,9,1543,0
4141,48,13,1,1,16,1542,0
2378,41,13,0,1,10,1727,0
7915,36,3,1,1,12,1764,0
16816,29,1,1,1,6,1363,1
5754,58,12,1,1,14,1817,0
8983,39,11,0,1,11,1570,0
22328,50,5,1,2,7,1426,0
37472,42,8,2,1,13,1812,1
2653,48,6,2,1,4,1353,0
7242,61,9,0,2,7,1481,0
3851,40,3,0,1,12,1431,0
29850,51,9,2,1,10,1425,1
32949,31,9,0,1,13,1759,0
12242,26,3,1,1,13,1737,0
10638,56,4,2,1,12,1615,0
5089,21,2,1,1,13,1548,1
21537,48,3,1,1,14,1815,0
6025,34,3,0,1,10,1677,0
2647,39,9,0,3,17,2447,0
25677,33,7,0,1,18,1885,0
14250,37,11,0,1,9,1779,0
4951,40,1,0,1,18,2192,0
13829,27,6,0,2,4,1520,0
19702,19,1,1,1,15,1901,1
13197,52,6,0,1,8,1594,0
10377,43,13,1,1,9,1502,0
5598,49,5,0,1,7,1733,0
4178,59,3,0,1,10,1634,0
15906,52,9,0,3,10,2052,0
8216,35,6,0,1,9,1529,0
11841,34,5,1,2,3,2011,0
8016,51,10,2,1,4,1543,1
18932,48,8,1,2,11,1929,0
8453,25,3,2,4,9,2099,1
8784,58,14,1,2,12,1440,0
4272,45,7,0,1,9,1631,0
4125,46,4,1,1,13,1666,0
12873,48,15,1,3,4,1280,0
7638,50,13,1,1,18,1786,0
55989,23,3,2,1,2,1151,1
75000,54,6,0,1,8,2147,0
15441,46,9,0,1,12,1743,0
13389,40,6,0,2,8,1641,0
5064,48,2,0,1,12,1819,0
50698,66,15,2,1,18,2069,1
1281,46,8,0,1,10,1907,0
23062,64,9,0,1,12,1703,0
8194,54,11,0,2,15,1603,0
2394,29,10,0,1,14,1732,0
15096,24,3,1,1,9,1542,0
5866,30,5,2,1,13,1551,0
20055,31,8,2,2,12,1709,1
29806,30,1,1,1,9,1561,1
17346,33,10,0,5,9,2034,0
1826,52,2,0,2,10,1834,1
5512,46,9,0,1,8,1836,0
10234,61,15,0,1,8,1424,0
37977,60,4,0,1,10,1791,0
16010,65,9,0,2,15,1930,0
24694,40,1,0,2,13,2188,1
5534,33,3,1,1,9,2066,1
17360,44,7,2,1,12,1761,0
11958,49,1,2,2,10,1797,1
13961,72,11,0,2,5,1528,0
4321,63,5,2,1,8,1546,1
5862,40,12,0,1,8,1659,0
5843,64,7,1,3,6,1729,0
5242,38,4,2,1,6,1861,1
9969,51,14,0,2,16,1830,0
9792,46,4,1,1,10,1596,0
13853,49,12,0,2,13,2101,0
31555,57,12,2,1,7,1217,0
5588,42,1,1,1,5,1789,1
6237,28,8,1,1,9,1726,0
8010,40,4,1,1,15,1389,0
75000,18,1,0,1,11,1847,0
4930,28,7,2,1,10,1712,0
14336,37,14,0,2,5,1719,0
6827,55,10,0,4,12,1864,0
9035,45,6,0,1,10,1600,0
21110,48,4,0,4,2,2042,0
11220,46,9,0,1,16,2089,0
14442,25,5,1,3,4,2083,0
3267,49,7,1,1,14,1683,0
3142,40,6,0,4,6,2030,0
15872,50,14,0,1,7,1034,0
4797,59,4,0,4,4,2085,0
6578,59,10,0,2,15,1943,0
17188,45,3,1,1,16,2079,1
46383,18,1,0,2,9,1891,1
5936,52,9,0,1,5,1506,0
18231,29,7,0,1,12,1799,0
5745,61,15,0,1,17,1781,0
2893,70,3,1,2,7,1808,0
2570,62,8,0,2,7,1636,0
24090,45,11,0,1,8,1701,0
11717,29,4,1,1,7,1762,0
6988,51,1,1,1,6,1153,0
19495,39,8,2,1,21,2069,0
14450,44,3,0,1,17,1652,1
1344,26,4,0,1,11,1940,0
9674,33,14,1,1,8,1557,0
19826,24,2,0,1,16,1802,0
14471,23,1,1,1,10,1565,0
18614,56,15,1,1,13,1974,0
10932,49,5,1,1,7,1258,0
3777,24,5,0,1,5,1686,0
4338,29,9,1,3,16,2265,0
17702,44,4,1,1,11,1827,1
6427,41,15,0,1,8,1784,0
4151,60,2,1,3,12,1781,1
11642,38,1,0,1,10,1823,0
7311,58,11,1,2,3,1374,0
37733,54,6,0,3,6,1854,0
3754,43,13,2,2,6,1972,0
14979,71,2,0,2,9,1576,0
4404,55,2,1,1,6,1382,0
28213,27,8,2,2,8,1499,0
10810,71,14,2,1,10,1560,0
5149,45,10,1,2,10,1514,0
7701,48,15,2,3,14,2034,0
14440,40,10,0,1,7,1224,0
3553,52,13,0,2,11,1971,0
4650,33,8,1,1,8,1618,0
20774,46,1,1,1,8,1601,0
7748,53,5,0,1,9,1665,0
14551,46,10,1,2,9,1718,0
30669,41,15,2,4,15,2335,1
3570,60,5,0,1,12,1455,0
5597,35,3,0,2,11,1863,0
2622,65,11,1,1,14,1635,0
5732,48,4,0,2,10,1772,0
8420,26,5,2,2,15,1742,1
5228,28,2,1,1,8,1658,0
11719,68,6,1,4,3,1923,0
31508,51,7,1,5,5,2321,1
2212,34,8,0,1,12,1671,0
32327,38,11,0,1,6,1660,0
12571,48,14,0,3,8,1938,0
5177,41,5,1,2,11,1683,0
9038,44,9,2,1,10,1597,0
6356,56,5,1,1,11,1453,0
10568,70,6,2,1,9,1423,1
19615,52,2,2,4,14,1938,1
6035,62,13,0,1,15,1740,0
1432,39,1,0,1,7,1480,0
26258,47,5,0,1,9,1590,0
7294,53,15,0,2,13,1970,0
39990,43,15,0,1,15,1865,0
10506,18,1,1,1,8,1771,0
2667,65,9,1,1,13,1787,0
23444,23,1,0,3,15,2087,1
11651,50,4,0,3,13,2142,0
2346,32,9,0,1,17,1589,0
4965,39,13,2,1,11,1449,0
4953,55,10,0,1,13,1763,0
9824,37,3,0,2,5,1664,0
11607,18,1,1,1,12,1678,1
4520,36,13,0,2,22,1920,0
13831,46,8,0,1,11,1699,0
15204,40,3,2,1,1,1612,1
7725,69,1,0,1,17,1871,0
6336,39,14,0,1,10,1450,1
2856,28,4,0,1,6,1180,0
29676,76,1,0,3,10,1937,0
19866,60,1,0,1,12,1558,1
4115,51,7,0,1,16,1449,0
9853,28,6,0,4,10,2042,0
21340,61,15,0,1,11,1502,0
9606,47,8,0,2,9,1546,0
14799,54,8,0,4,6,2160,0
35671,39,11,1,3,9,1792,0
7411,39,3,1,3,14,1520,1
14129,61,11,0,3,6,2250,0
26325,27,5,2,1,11,1879,1
11797,70,13,0,2,12,1733,0
4449,39,12,0,3,12,1792,0
6431,34,11,0,1,14,2133,0
21219,26,2,1,2,8,1652,0
11234,30,3,1,1,7,1777,1
6850,65,14,2,1,14,1483,0
25733,41,10,0,4,9,1892,0
611,33,4,1,1,15,1718,0
14318,65,13,1,2,14,2016,0
16048,45,1,0,2,6,1641,0
3865,44,11,2,1,16,1921,1
5298,48,9,0,1,16,2327,0
4545,24,5,0,2,10,1771,0
5612,61,6,2,3,20,2162,1
5134,34,7,0,1,14,1238,0
5833,44,9,2,1,8,1539,1
13464,54,9,2,3,13,1799,1
6114,41,15,0,1,10,1513,0
18061,38,14,0,3,9,1650,0
30900,47,11,1,1,11,2045,0
6292,73,4,2,2,11,1656,0
21406,56,5,0,1,12,1450,0
13385,42,9,0,1,12,1072,0
15089,36,3,1,1,7,1411,1
11275,43,8,2,1,13,1744,0
12721,37,4,0,1,4,1647,0
6304,49,5,1,4,14,2063,1
31676,31,6,0,1,4,1203,0
10554,53,2,0,2,9,1605,0
9064,18,1,0,1,12,1880,1
15684,45,12,0,2,11,1800,0
10306,28,3,0,3,7,1939,0
14937,23,3,0,1,10,1598,0
1855,53,2,0,1,14,2108,0
2599,33,1,0,3,8,2018,1
7082,40,13,0,4,6,1788,0
8138,23,1,0,4,15,2185,0
3803,22,2,1,1,1,1791,0
710,68,8,1,1,12,1564,0
8094,35,9,2,5,10,2175,1
10759,63,13,0,3,5,2066,0
2277,37,7,1,3,9,1823,0
7460,36,14,1,4,3,2008,0
5602,54,13,2,1,12,1504,0
9330,58,3,0,2,19,1758,0
48064,50,6,1,1,7,1625,1
11821,20,1,2,1,12,1502,1
3069,63,5,1,5,11,2250,0
5423,30,7,0,2,6,1622,0
14027,52,12,1,5,12,2163,0
34744,69,9,1,1,8,1764,0
8940,43,11,1,1,14,1843,0
57500,33,5,1,3,8,1968,1
7781,33,7,1,1,7,1828,1
5814,51,4,2,3,11,2052,0
1032,26,4,0,4,21,2343,1
27673,48,14,1,2,9,1786,0
10530,44,2,0,1,12,2016,0
12946,18,1,1,2,8,1854,1
12987,40,8,0,1,6,1568,0
36411,40,6,0,1,12,1871,0
4178,51,15,0,1,7,1173,0
42076,64,3,0,1,10,1812,0
18033,64,7,1,4,7,2407,0
5892,31,2,1,1,17,1523,0
11151,55,10,0,2,8,1801,0
9292,64,15,2,5,14,2576,0
4597,49,1,1,2,10,1623,1
20416,40,7,0,1,12,1427,1
13762,43,8,0,2,14,1841,0
29311,40,6,0,1,12,1944,0
9407,61,13,0,1,9,1530,0
6496,52,8,0,1,14,2005,0
8717,44,7,0,1,8,1301,0
8147,25,1,0,1,7,1714,0
25081,30,7,2,1,12,1844,1
4893,39,11,2,2,11,1839,0
22164,53,7,2,1,13,1917,0
2486,53,6,1,1,11,1580,0
13003,50,8,2,1,5,1755,0
8168,53,13,1,1,8,1251,0
8649,33,10,0,2,12,2061,0
8576,18,1,1,1,11,1490,1
7807,39,13,0,1,9,1620,0
15123,26,2,1,1,5,1707,1
7428,46,14,1,1,8,1242,0
23880,43,10,0,1,8,1805,0
5241,37,3,2,1,17,1934,1
6334,38,9,0,1,7,1623,0
4877,46,4,0,2,17,2289,0
3707,25,4,1,1,11,1570,0
34672,34,8,2,2,20,1971,1
16727,29,7,1,3,9,1907,1
7658,48,6,1,2,12,1857,0
25482,65,14,0,2,8,1668,0
4486,52,2,1,1,7,1550,0
6067,33,8,1,3,10,1690,1
5381,45,12,0,1,16,1539,0
8275,58,12,0,1,9,1576,0
5844,54,15,0,4,1,2019,0
11651,23,1,0,5,10,2216,0
6142,25,2,0,1,1,1031,0
64925,67,1,2,1,5,1414,1
14170,45,2,1,1,9,1694,0
26995,35,8,1,1,7,1787,1
2786,70,4,2,1,21,2155,1
18156,69,2,0,1,13,1530,1
5219,50,6,0,3,14,2251,0
26677,43,14,1,1,6,1328,0
7144,27,6,0,4,9,2267,0
24858,30,5,0,3,8,1916,0
10868,55,8,2,1,10,1594,1
10020,47,11,0,3,7,2174,0
13624,39,1,0,1,8,1465,0
3356,47,12,1,1,17,1829,1
1672,29,3,0,2,14,2166,0
2596,37,3,0,2,9,1598,0
14803,74,4,0,1,8,1514,0
6030,54,2,0,2,10,1385,0
8279,63,3,0,1,12,1714,0
31973,40,12,0,2,15,2112,0
10323,49,10,1,2,10,1929,0
11660,57,5,1,1,6,1608,0
5043,67,13,2,1,11,1601,0
4726,71,6,1,1,12,1817,0
11949,55,8,0,1,7,1948,0
6809,43,4,2,1,9,1240,1
32359,63,15,0,1,9,1545,0
20982,38,14,2,1,12,1820,0
6025,18,1,1,3,5,1953,1
6244,49,14,0,1,17,2004,1
35566,61,2,1,1,16,2156,0
7805,80,2,1,1,12,1523,0
8462,40,4,2,2,12,2022,1
8574,42,14,2,1,13,1231,0
13162,35,14,1,2,11,1660,0
1712,28,9,0,1,17,2063,0
6745,32,8,0,2,11,2121,0
5961,57,12,1,1,4,1036,0
9748,32,12,1,2,16,1929,0
7932,69,14,0,3,14,1898,0
7597,26,3,0,1,16,1830,0
17988,52,7,1,1,16,2034,0
5496,26,3,0,1,5,1345,0
11106,18,1,2,1,12,1436,1
2376,33,12,0,2,10,2101,0
8261,37,12,1,2,12,1974,1
12884,35,10,0,1,9,1746,0
55047,53,10,0,1,14,1950,1
4269,56,15,0,1,12,1791,0
2980,51,6,0,2,2,1624,0
4216,38,1,0,1,7,1599,0
4651,35,7,1,3,7,1556,1
23344,35,9,0,1,12,1568,0
1515,47,8,0,1,10,1593,0
8216,41,1,2,1,12,1754,0
6112,42,7,1,1,12,1699,0
8349,73,2,0,1,19,2061,0
7647,40,6,0,1,12,2088,0
33991,35,6,0,1,4,1499,0
12490,20,1,0,2,5,1391,0
17389,19,1,0,1,13,2006,0
6618,26,5,0,1,9,1562,0
15780,23,1,0,2,9,1850,1
5650,18,1,1,1,1,1038,1
23543,39,3,1,1,8,1496,1
8361,42,15,2,1,5,1710,0
10168,27,3,1,1,10,1690,0
7025,58,1,1,1,4,1611,0
11300,39,8,1,1,8,1808,0
10882,33,8,1,3,12,1965,0
22918,56,5,0,2,13,2087,0
5287,40,15,0,1,10,1595,0
22922,58,4,0,2,11,1816,0
7192,36,10,0,4,17,2089,0
15238,36,4,1,1,5,1189,1
10421,37,1,1,2,12,1585,0
5110,66,7,2,5,6,1860,0
12107,51,1,1,1,1,1453,0
9263,58,4,2,4,13,2148,1
18504,47,2,1,1,13,1613,0
15969,44,11,2,5,11,2106,1
13313,59,6,1,1,7,1766,0
13270,43,5,0,1,9,1378,0
13771,36,11,1,3,6,1771,1
17771,54,4,1,2,18,2069,0
25601,33,12,2,1,12,1728,0
10205,59,12,1,3,15,1750,1
28724,36,13,0,1,7,1413,0
45880,52,9,0,1,5,1157,0
32007,33,2,0,1,15,1906,0
14117,43,7,0,1,9,1672,0
26530,20,1,1,3,12,1756,1
11415,64,13,0,3,5,1575,0
13556,41,9,0,3,5,1771,0
6581,41,12,0,5,10,2553,0
5891,38,6,0,1,20,2037,0
1545,34,1,1,4,14,2140,0
19743,59,7,1,1,17,1840,0
3726,38,9,0,3,10,1766,0
19804,48,4,2,2,5,1875,1
9195,54,10,1,2,14,1882,1
11945,32,5,1,4,10,1732,1
3885,46,7,0,2,7,1632,0
8951,44,4,1,2,4,1530,0
38445,66,5,0,1,18,2342,0
12414,59,9,0,2,1,1347,0
1759,56,13,1,2,15,2051,0
75000,61,2,1,1,14,1932,1
8910,70,8,2,4,5,2113,0
20964,55,13,0,3,17,2142,0
18101,42,6,0,3,15,2426,0
1102,34,9,0,2,8,1677,0
7057,33,5,1,1,7,1572,1
10182,40,2,2,1,3,1210,0
5077,77,8,1,1,10,1560,0
23259,41,1,0,1,9,1695,1
75000,43,8,1,1,13,1372,1
2301,52,9,1,1,16,1542,0
3901,52,12,1,2,13,1843,0
19775,31,12,0,1,7,1310,0
41248,52,1,1,2,14,1704,1
6079,48,6,0,1,14,1589,0
6599,57,6,2,2,11,2018,1
3211,34,4,1,2,10,1915,1
11416,54,8,0,4,15,2277,0
1282,64,9,1,2,9,1881,0
14314,39,1,0,1,12,1679,0
7064,47,1,1,1,14,1822,0
6726,48,12,2,1,10,1510,0
1884,51,1,1,1,9,1877,0
7852,40,4,1,1,15,1567,0
7339,48,10,0,1,5,1578,0
2944,18,1,0,1,15,1769,0
27008,67,3,2,1,10,1608,0
7665,31,7,0,2,6,1759,0
13915,61,13,0,4,12,1897,0
27208,41,10,1,4,13,1975,0
6828,42,12,1,4,8,2030,0
6780,40,1,1,3,14,2086,0
4296,68,14,0,2,18,2372,0
4671,52,13,1,1,18,1795,0
14412,49,12,1,3,4,2126,0
11765,63,2,1,1,20,1738,0
26661,18,1,2,2,14,1640,1
12938,62,11,1,5,12,2577,0
12840,52,3,1,1,9,1662,0
13345,58,15,1,5,10,2351,0
61062,44,7,1,1,11,1271,1
3788,37,15,0,3,7,1710,0
2469,37,9,1,1,18,2188,0
9126,33,4,2,1,13,1862,1
18674,46,2,0,1,9,1703,0
7129,40,7,1,1,16,1794,0
12140,20,1,0,4,7,1873,1
10044,38,3,2,2,12,1908,1
7595,52,1,1,1,11,1810,1
16539,42,6,0,1,8,1381,0
5254,26,3,2,1,10,1755,1
6812,42,4,0,1,11,1548,0
10849,42,10,1,1,11,1528,0
10494,43,14,1,3,7,1894,0
11129,38,2,0,1,13,1717,1
27329,61,14,0,1,8,1710,0
19783,62,5,2,1,10,1693,1
6925,36,4,1,1,7,1467,1
15571,33,2,0,2,9,1610,0
2468,31,10,0,2,12,1934,0
8575,66,5,0,2,15,1740,0
22314,47,14,2,1,13,1612,0
6728,62,13,1,3,5,1955,0
4675,37,10,1,1,11,1621,0
9577,69,5,1,1,13,1586,0
16852,34,3,1,1,15,1907,1
19177,39,1,1,3,16,2157,1
16813,25,2,0,1,8,1477,0
12767,32,6,0,4,13,2196,0
18651,55,2,0,1,11,2027,0
2321,47,13,2,2,16,1597,0
42920,41,4,0,1,8,1536,0
2889,59,1,1,1,1,1239,1
